url;price;price_monthly;price_yearly;name;logo;rating_value;rating_count;website;description;image;traffic;reviews
https://www.g2.com/products/boostup-ai/reviews;[];[];[];Terret.ai;https://images.g2crowd.com/uploads/product/image/3b1f0d36b41cfdff36507037e4aa35af/terret-ai.png;4.4;612;;Terret is the leading provider of AI Revenue Agents for sales, account management, and CS teams. Terret’s Virtual Revenue Fleet drives productivity across the full revenue cycle.  From generating forecasts and automating the sales process to researching accounts and building mutual action plans, leading companies rely on Terret to grow revenue while reducing GTM expenses.;https://images.g2crowd.com/cdn-cgi/image/width=300,height=300,fit=scale-down,format=auto,onerror=redirect,/https://images.g2crowd.com/uploads/attachment/file/143296/Update-Sales-Process.png,https://images.g2crowd.com/cdn-cgi/image/width=300,height=300,fit=scale-down,format=auto,onerror=redirect,/https://images.g2crowd.com/uploads/attachment/file/142774/Key-Contact-Engagement.png,https://images.g2crowd.com/cdn-cgi/image/width=300,height=300,fit=scale-down,format=auto,onerror=redirect,/https://images.g2crowd.com/uploads/attachment/file/143297/TerretGPT.png,https://images.g2crowd.com/cdn-cgi/image/width=300,height=300,fit=scale-down,format=auto,onerror=redirect,/https://images.g2crowd.com/uploads/attachment/file/143298/Mutual-Action-Plans.png,https://images.g2crowd.com/cdn-cgi/image/width=300,height=300,fit=scale-down,format=auto,onerror=redirect,/https://images.g2crowd.com/uploads/attachment/file/143295/Meeting-Dossiers.png,https://images.g2crowd.com/cdn-cgi/image/width=300,height=300,fit=scale-down,format=auto,onerror=redirect,/https://images.g2crowd.com/uploads/attachment/file/175844/Action-Items.png;14167;"['""A tool for all forecasting needs""', '""Smart Revenue Forecasting & Sales Insights in One Place""', '""Easy to manage your pipeline and forecast""', '""Great Experience with BoosUp.ai""', '""Amazing Forecast management""', '""Boostup is a great tool to have everything in one place! Love it""', '""Keep on top of deals and up to date reducing internal back and forth""', '""Great Tool to Ensure Pipeline Management""', '""Insight you need to optimize your sales funnel""', '""Boost Up makes forecasting renewals a seamless experience!""']"
https://www.g2.com/products/gptzero/reviews;[];[];[];GPTZero;https://images.g2crowd.com/uploads/product/image/4352dd51a4b2c43ad1fbf7528f170e50/gptzero.jpg;4.3;98;;"More than an AI detector
Preserve what's human.
We bring transparency to humans navigating a world filled with AI-generated content. GPTZero is the gold standard in AI detection, trained to detect ChatGPT, GPT4, BARD, Llama, and other AI models.";;3135;[]
https://www.g2.com/products/schoolrunner/reviews;[];[];[];Schoolrunner;https://images.g2crowd.com/uploads/product/image/14d04de58822be114d151b25ba658b33/schoolrunner.png;3.5;2;;Schoolrunner is a comprehensive management system that provides a solution for your evidence-based teaching and learning needs. Schoolrunner layers on top of your current Student Information System (SIS) to provide real-time insight, get your entire school community on the same page, and support your staff with time-saving communication features and analysis. Schoolrunner inspires positive classrooms in our nation’s schools.;;3044;[]
https://www.g2.com/products/jotform/reviews;[{'plan_name': 'FREE', 'price': 0.0, 'currency': 'USD', 'trial_days': None}];[{'plan_name': 'Bronze', 'price': 34.0, 'currency': 'USD', 'trial_days': None}, {'plan_name': 'Silver ', 'price': 39.0, 'currency': 'USD', 'trial_days': None}, {'plan_name': 'Gold', 'price': 99.0, 'currency': 'USD', 'trial_days': None}];[];Jotform;https://images.g2crowd.com/uploads/product/image/4daf806ef7316c988e15a20797c547bd/jotform.png;4.7;4440;www.jotform.com;"Trusted by more than 35 million users worldwide, Jotform is a powerful online form builder designed to help individuals and organizations create, customize, and publish forms in minutes, from any device. With an intuitive drag-and-drop interface, Jotform makes it simple for anyone to build professional, mobile-responsive forms without writing a single line of code. As a fully no-code platform, Jotform empowers users to automate workflows, streamline data collection, and digitize processes. 

Jotform offers one of the largest template libraries in the industry, featuring 10,000+ ready-made form templates tailored to every use case. Popular categories include payment forms, lead generation forms, event registration forms, application forms, surveys, order forms, onboarding forms, consent forms, and feedback forms. Each template is fully customizable, allowing users to adjust layouts, add conditional logic, collect e-signatures, upload files, apply branding, and incorporate advanced field types. This level of flexibility ensures every form is optimized for user experience and aligned with organizational goals.

To streamline workflows, Jotform integrates seamlessly with over 200 popular third-party apps, including Google Sheets, Slack, Zoom, HubSpot, Salesforce, PayPal, Stripe, and numerous other business tools. These integrations automate data collection, payment processing, CRM updates, and team notifications. By connecting forms directly to the tools your team already uses, Jotform helps eliminate data silos and supports end-to-end process automation—all within a no-code environment.

Security and compliance are at the core of Jotform’s platform. Features such as HIPAA compliance options, 256-bit SSL encryption, CAPTCHA, form access controls, and audit logs help organizations protect sensitive data and meet industry standards. Whether you're collecting healthcare information, financial data, or internal employee records, Jotform provides the reliability and safeguards needed to operate with confidence.

With powerful features like automated emails, approval workflows, analytics dashboards, and embeddable widgets, Jotform delivers an all-in-one solution for organizations looking to simplify data collection and improve productivity. From small businesses to enterprises, educational institutions, healthcare providers, and nonprofits, millions of teams rely on Jotform to capture information efficiently and turn submissions into actionable results.";https://images.g2crowd.com/cdn-cgi/image/width=300,height=300,fit=scale-down,format=auto,onerror=redirect,/https://images.g2crowd.com/uploads/attachment/file/59880/g2-1.png,https://images.g2crowd.com/cdn-cgi/image/width=300,height=300,fit=scale-down,format=auto,onerror=redirect,/https://images.g2crowd.com/uploads/attachment/file/59879/g2-2.png,/assets/transparent-ad5be28fbcd25b7b08d2cebe1d957125437fb5407d75ee717965ad22c8808791.gif,/assets/transparent-ad5be28fbcd25b7b08d2cebe1d957125437fb5407d75ee717965ad22c8808791.gif,/assets/transparent-ad5be28fbcd25b7b08d2cebe1d957125437fb5407d75ee717965ad22c8808791.gif,/assets/transparent-ad5be28fbcd25b7b08d2cebe1d957125437fb5407d75ee717965ad22c8808791.gif;2893;"['""How JotForm Became Our Unofficial Team Member""', '""Effortless Form Building and Seamless Integrations""', '""Effortless Form Building and Reliable Integrations""', '""Organizer Lifesaver""', '""The Most Reliable Form Builder I’ve Used in My Business""', '""Efficient Support""', '""Streamlined Operations, Saves Resources""', '""Effortless Form Creation and Organization for Our Team""', '""Solid and flexible online form builder for small teams""', '""Outstanding Integrations That Unlock Endless Possibilities""']"
https://www.g2.com/products/affirm/reviews;[];[];[];Affirm;https://images.g2crowd.com/uploads/product/image/630ea77f1207065cf86f7ee4b5cf533c/affirm.jpg;4.3;46;;Affirm’s mission is to deliver honest financial products that improve lives. By building a new kind of payment network – one based on trust, transparency and putting people first – we empower millions of consumers to spend and save responsibly, and give thousands of businesses the tools to fuel growth. Unlike most credit cards and other pay-over-time options, we show consumers exactly what they will pay up front, never increase that amount, and never charge any late or hidden fees.;https://images.g2crowd.com/cdn-cgi/image/width=300,height=300,fit=scale-down,format=auto,onerror=redirect,/https://images.g2crowd.com/uploads/attachment/file/175840/Verticals-Homepage-Hero.png,https://images.g2crowd.com/cdn-cgi/image/width=300,height=300,fit=scale-down,format=auto,onerror=redirect,/https://images.g2crowd.com/uploads/attachment/file/175834/API-integration.png,https://images.g2crowd.com/cdn-cgi/image/width=300,height=300,fit=scale-down,format=auto,onerror=redirect,/https://images.g2crowd.com/uploads/attachment/file/175835/Verticals-Fashion-Tailored-Solutions-desktop-2x.png,https://images.g2crowd.com/cdn-cgi/image/width=300,height=300,fit=scale-down,format=auto,onerror=redirect,/https://images.g2crowd.com/uploads/attachment/file/175836/Verticals-Homepage-Tailored-Solutions.png;2265;"['""Flexible Financing with Room for Improvement""', '""What Affirm means for our business""', '""Affirm, a good option to receive payments.""', '""Great for business!""', '""Lots of incompetence and extremely poor treatment of their merchant partners""', '""Didn\'t come through on a purchase""', '""Affirm, a great tool for ecommerce shopping.""', '""Credit helper""', '""Great Alternative to Credit Cards""', '""A safe and effective way to increase cart values and offer financing""']"
https://www.g2.com/products/streamyard/reviews;[];[];[];StreamYard;https://images.g2crowd.com/uploads/product/image/cb7d3596335f5e054e04015bc981077b/streamyard.png;4.8;293;;"StreamYard is a live streaming, recording and webinar tool in your browser. Interview guests, share your screen, and much more. Stream directly to Facebook, YouTube, LinkedIn, and other platforms.

StreamYard makes it easy to broadcast your live show to all audiences on multiple platforms at once. Interview guests, sync comments, and brand every broadcast. Better yet, our backup servers make sure your livestream runs smoothly no matter what—because the show must go on.

Record your podcasts with high quality local recordings. 

Host your virtual events and webinars with StreamYard.";https://images.g2crowd.com/cdn-cgi/image/width=300,height=300,fit=scale-down,format=auto,onerror=redirect,/https://images.g2crowd.com/uploads/attachment/file/151743/2020-11-05-09-23-14.png,https://images.g2crowd.com/cdn-cgi/image/width=300,height=300,fit=scale-down,format=auto,onerror=redirect,/https://images.g2crowd.com/uploads/attachment/file/169599/Screen-Shot-2021-04-26-at-10.51.48-AM.png;2250;"['""One of the Most Disappointing Experiences I’ve Had With a SaaS Tool""', '""Seamless and professional live streaming made easy!""', '""The customer experience and customer support have severely deteriorated""', '""Good for Certain Contexts But Has Limitations""', '""It is a very good app I use for interviews and ministry""', '""I was great now is to expensive""', '""Best and easiest streaming service for beginners""', '""My go-to Video platform""', '""Streamyard is THE choice tool for serious streamers""', '""Vodcasting made easy""']"
https://www.g2.com/products/definitive-healthcare/reviews;[];[];[];Definitive Healthcare;https://images.g2crowd.com/uploads/product/image/6a41259a96f14612b3ca1d66fb16e17a/definitive-healthcare.png;3.9;41;;"When you navigate the healthcare market, you run into big questions, fast. Where are the people who need your product? Where can you find the experts to inform your product development? And more importantly, how do you turn billions of data points into meaningful answers? 

At Definitive Healthcare, our passion is to transform data, analytics and expertise into healthcare commercial intelligence. We help clients uncover the right markets, opportunities and people, so they can shape tomorrow’s healthcare industry. Our SaaS platform creates the path to commercial success in the healthcare market, so you can identify where to go next.  

We offer solutions for customers who work in Biopharma, Medical Devices, Software & IT, Professional Services, Healthcare Providers or any industry looking to sell products into the healthcare market.  

Our solutions help customers who are looking for intelligence to help with:  

- Go-to-market planning and execution  
- Product development  
- Market intelligence  
- Corporate development  
- Sales intelligence & optimization";;1402;[]
https://www.g2.com/products/mercer/reviews;[];[];[];Mercer;https://images.g2crowd.com/uploads/product/image/ccc3fe7493475097a801c8537bb3117e/mercer.png;3.8;10;;"At Mercer, we believe in building brighter futures.

Together, we’re redefining the world of work, reshaping retirement and investment outcomes, and unlocking real health and well-being. We do this by meeting the needs of today and tomorrow. By understanding the data and applying it with a human touch. And by turning ideas into action to spark positive change.

For over 75 years, we’ve been providing trusted advice and solutions to build healthier and more sustainable futures for our clients, colleagues and communities.

Welcome to a world where empathy and economics make a difference in people’s lives. 

Welcome to brighter.";;1254;"['""Mercer vendor""', '""Mercer Salary Data""', '""Ethics and principles are lacking""', '""Not very relavent to Indian Market""', '""A good Organisation with Trustworthy. People\'s choice company!!!""', '""A Provider of Robust Compensation Data""', '""Mercer is a leader in employee benefit consulting""', '""Seamless and Easy""', '""Thus far it\'s been a great experience""', '""Mercer""']"
https://www.g2.com/products/freemake/reviews;[];[];[];Freemake;https://images.g2crowd.com/uploads/product/image/980629d446e564914ed97a0da34fb0b7/freemake.png;3.7;25;;Convert video free to AVI, MP4, WMV, MKV, MPEG, 3GP, DVD, MP3, iPod, iPhone, PSP, Android, rip & burn DVD, convert to Flash FLV & SWF, burn Blu-ray, and upload to YouTube with our free video converter;;1221;[]
https://www.g2.com/products/covetrus-avimark/reviews;[];[];[];Covetrus Avimark;https://images.g2crowd.com/uploads/product/image/14d2f2bafcf7499ef8f1e5618d37029c/avimark.jpg;4.1;87;;AVImark by Covetrus is the practice management software of choice for more than 11,000 veterinary hospitals worldwide. Powerful and scalable to support practice growth, AVImark software is also easy to learn and easy to use. Get standard and advanced features like appointment and boarding calendars, electronic medical records, patient reminders, estimates and invoicing, inventory monitoring, financial reporting, and more everything you need for a thriving, paperless veterinary practice.;https://images.g2crowd.com/cdn-cgi/image/width=300,height=300,fit=scale-down,format=auto,onerror=redirect,/https://images.g2crowd.com/uploads/attachment/file/30100/AVImark---CID.jpg;1185;[]
